Customer_ID,last_order_date,frequency,monetary,recency_days,R_score,F_score,M_score,RFM_Score,RFM_Segment,kmeans_cluster
32643_US,2023-09-06,15,817.0783410138249,483,2,5,5,255,At Risk,0
50703_US,2023-08-15,10,813.9345794392523,505,2,5,5,255,At Risk,0
49878_US,2023-06-25,9,811.8301886792452,556,2,5,5,255,At Risk,0
71409_US,2023-08-11,9,806.5859129654553,509,2,5,5,255,At Risk,0
60164_US,2023-08-04,11,801.8695652173914,516,2,5,5,255,At Risk,0
46615_US,2023-07-18,8,799.252336448598,533,2,5,5,255,At Risk,0
61240_US,2023-08-12,10,798.2260869565218,508,2,5,5,255,At Risk,0
92274_US,2023-08-09,5,794.7152619589978,511,2,5,5,255,At Risk,0
98315_US,2023-07-18,7,785.7737556561086,533,2,5,5,255,At Risk,0
T1K 4V2_CA,2023-07-21,4,782.55,530,2,5,5,255,At Risk,0
3434_NZ,2023-06-19,6,774.83,562,2,5,5,255,At Risk,0
41008_US,2023-08-30,8,773.622641509434,490,2,5,5,255,At Risk,0
18213_ES,2023-08-23,6,773.3,497,2,5,5,255,At Risk,0
14903_US,2023-08-05,9,770.3053960964407,515,2,5,5,255,At Risk,0
17353_US,2023-07-19,9,768.3148148148148,532,2,5,5,255,At Risk,0
30257_US,2023-06-07,10,765.7024793388431,574,2,5,5,255,At Risk,0
7000_MY,2023-04-17,1,759.96,625,1,1,5,115,Hibernating,2
T7A 1J9_CA,2023-07-21,2,754.47,530,2,4,5,245,At Risk,0
47928_US,2023-09-01,6,752.8130841121495,488,2,5,5,255,At Risk,0
30510_US,2023-08-22,10,752.2038567493113,498,2,5,5,255,At Risk,0
43567_US,2023-09-04,7,746.0925925925926,485,2,5,5,255,At Risk,0
24360_US,2023-09-05,7,745.9811320754717,484,2,5,5,255,At Risk,0
3269_US,2023-06-01,6,743.7,580,2,5,5,255,At Risk,0
72143-4976_US,2023-08-29,1,743.37,491,2,1,5,215,Hibernating,2
10524_US,2023-07-23,8,736.211251435132,528,2,5,5,255,At Risk,0
73105_US,2023-08-09,8,732.4304932735427,511,2,5,5,255,At Risk,0
V0E 1M1_CA,2023-07-12,3,727.16,539,2,4,5,245,At Risk,0
7074_US,2023-07-31,8,726.7732722079718,520,2,5,5,255,At Risk,0
93927_US,2023-08-16,9,721.7038724373576,504,2,5,5,255,At Risk,0
56529_US,2023-06-12,6,721.3409873708381,569,2,5,5,255,At Risk,0
V35 D710_IE,2023-09-01,7,716.4173228346456,488,2,5,5,255,At Risk,0
20045_IT,2023-06-20,7,715.5181818181818,561,2,5,5,255,At Risk,0
38878_US,2023-04-29,2,712.84,613,1,4,5,145,At Risk,0
75939_US,2023-08-27,4,711.6120092378752,493,2,5,5,255,At Risk,0
68826_US,2023-09-01,6,706.65,488,2,5,5,255,At Risk,0
4040_US,2023-08-20,6,705.53,500,2,5,5,255,At Risk,0
H3C 2N6_CA,2023-05-21,3,702.3199999999999,591,2,4,5,245,At Risk,0
299_ZA,2023-08-13,8,701.82,507,2,5,5,255,At Risk,0
904-2143_JP,2023-08-14,3,701.77,506,2,4,5,245,At Risk,0
50250_US,2023-08-20,7,700.8691588785045,500,2,5,5,255,At Risk,0
54738_US,2023-07-25,8,700.1405152224825,526,2,5,5,255,At Risk,0
1635_PH,2023-09-04,4,694.63,485,2,4,5,245,At Risk,0
84645_US,2023-06-01,6,693.1591013296653,580,2,5,5,255,At Risk,0
70455_US,2023-08-01,10,692.1579183490354,519,2,5,5,255,At Risk,0
28163_US,2023-06-11,6,690.9116279069768,570,2,5,5,255,At Risk,0
97523_US,2023-07-03,6,689.56,548,2,5,5,255,At Risk,0
74743_US,2023-07-28,8,688.609865470852,523,2,5,5,255,At Risk,0
80117_US,2023-07-23,5,688.2194244604316,528,2,5,5,255,At Risk,0
10230_TH,2023-05-28,5,685.94,584,2,5,5,255,At Risk,0
63357_US,2023-07-15,9,682.5152268713734,536,2,5,5,255,At Risk,0
17322_US,2023-08-03,7,677.3981481481482,517,2,5,5,255,At Risk,0
K2J 0K6_CA,2023-07-10,3,677.24,541,2,4,5,245,At Risk,0
98596_US,2023-08-07,8,673.8371040723982,513,2,5,5,255,At Risk,0
15324_US,2023-05-25,3,667.7685185185185,587,2,4,5,245,At Risk,0
72019-7064_US,2023-08-29,4,666.97,491,2,4,5,245,At Risk,0
9000_PH,2023-08-16,6,662.77,504,2,5,5,255,At Risk,0
29700_ES,2023-09-01,5,661.3181818181818,488,2,5,5,255,At Risk,0
23350_US,2023-08-17,5,658.1509433962265,503,2,5,5,255,At Risk,0
30830-7715_US,2023-07-13,6,657.8696051423324,538,2,5,5,255,At Risk,0
47635_US,2023-08-10,8,654.3271028037383,510,2,5,5,255,At Risk,0
41230_US,2023-07-08,11,653.9811320754717,543,2,5,5,255,At Risk,0
5450_US,2023-08-25,6,651.98,495,2,5,5,255,At Risk,0
57718_US,2023-08-22,6,651.54,498,2,5,5,255,At Risk,0
47108_US,2023-07-05,6,651.0,546,2,5,5,255,At Risk,0
28543_US,2023-06-28,7,642.7348837209303,553,2,5,5,255,At Risk,0
45226_US,2023-09-03,10,642.6944444444443,486,2,5,5,255,At Risk,0
G9A 5Y6_CA,2023-05-05,2,639.21,607,1,4,5,145,At Risk,0
97720_US,2023-08-09,6,638.41,511,2,5,5,255,At Risk,0
78853_US,2023-02-23,6,638.0692840646651,678,1,5,5,155,At Risk,0
L9Y 0X1_CA,2023-04-10,3,636.91,632,1,4,5,145,At Risk,0
51528_US,2023-04-26,4,633.0373831775701,616,1,4,5,145,At Risk,0
97019_US,2023-05-15,2,632.75,597,2,4,5,245,At Risk,0
24630_US,2023-09-03,10,630.5,486,2,5,5,255,At Risk,0
19979_US,2023-09-06,3,627.88,483,2,4,5,245,At Risk,0
22520_US,2023-09-01,6,626.632075471698,488,2,5,5,255,At Risk,0
68649_US,2023-08-08,9,626.31,512,2,5,5,255,At Risk,0
99427_DE,2023-05-04,1,625.4672897196261,608,1,1,5,115,Hibernating,2
84007_US,2023-08-23,4,622.8977533241632,497,2,5,5,255,At Risk,0
E45 A665_IE,2023-07-21,3,621.9763779527559,530,2,4,5,245,At Risk,0
78401_US,2023-05-27,7,618.5958429561201,585,2,5,5,255,At Risk,0
58784_US,2023-04-21,5,617.06,621,1,5,5,155,At Risk,0
50156_US,2023-08-07,9,615.4579439252336,513,2,5,5,255,At Risk,0
80807_US,2023-08-21,5,612.8507194244604,499,2,5,5,255,At Risk,0
56554_US,2023-09-05,5,609.2491389207806,484,2,5,5,255,At Risk,0
70725_US,2023-09-03,8,604.9349484073575,486,2,5,5,255,At Risk,0
39429_US,2023-08-12,8,604.66,508,2,5,5,255,At Risk,0
91745-3221_US,2023-03-18,4,601.3576309794989,655,1,5,5,155,At Risk,0
68030_US,2023-04-14,3,601.25,628,1,4,5,145,At Risk,0
82839_US,2023-08-09,7,600.9200000000001,511,2,5,5,255,At Risk,0
66090_US,2023-07-05,10,599.5565610859728,546,2,5,5,255,At Risk,0
14170_US,2023-07-24,4,597.5843857634901,527,2,4,5,245,At Risk,0
91754-3616_US,2023-08-02,5,596.8564920273349,518,2,5,5,255,At Risk,0
86335_US,2023-08-29,8,596.4658273381294,491,2,5,5,255,At Risk,0
GU2 8BW_GB,2023-08-30,5,595.775,490,2,5,5,255,At Risk,0
62902_US,2023-08-11,7,595.5304347826087,509,2,5,5,255,At Risk,0
31730_US,2023-08-03,7,595.0596877869605,517,2,5,5,255,At Risk,0
81334_US,2023-05-16,2,594.6223021582734,596,2,4,5,245,At Risk,0
78950_US,2023-08-20,7,592.9237875288684,500,2,5,5,255,At Risk,0
95611_US,2023-07-07,3,591.6355353075171,544,2,4,5,245,At Risk,0
44230_US,2023-08-17,7,588.3703703703703,503,2,5,5,255,At Risk,0
39766_US,2023-09-02,8,588.02,487,2,5,5,255,At Risk,0
70583_US,2023-05-24,10,587.6536563481382,588,2,5,5,255,At Risk,0
1100_PH,2023-09-01,4,584.96,488,2,4,5,245,At Risk,0
V6N1Z6_CA,2023-05-11,2,583.4,601,2,4,5,245,At Risk,0
8884_US,2023-06-02,6,582.0098601029671,579,2,5,5,255,At Risk,0
31807_US,2023-08-07,5,580.8356290174473,513,2,5,5,255,At Risk,0
24256_US,2023-05-11,2,580.8301886792453,601,2,4,5,245,At Risk,0
12529_US,2023-09-02,6,579.572904707233,487,2,5,5,255,At Risk,0
45217_US,2023-09-03,9,576.824074074074,486,2,5,5,255,At Risk,0
93285_US,2023-09-05,6,576.0546697038725,484,2,5,5,255,At Risk,0
J4L 2E1_CA,2023-04-26,2,575.02,616,1,4,5,145,At Risk,0
52327_US,2023-07-17,6,574.4392523364485,534,2,5,5,255,At Risk,0
T4B 0Z3_CA,2023-04-22,3,574.36,620,1,4,5,145,At Risk,0
3862_US,2023-08-10,10,569.29,510,2,5,5,255,At Risk,0
38661_US,2023-09-01,3,568.27,488,2,4,5,245,At Risk,0
1062_US,2023-09-03,8,566.08,486,2,5,5,255,At Risk,0
2121_US,2023-09-06,8,565.8164705882352,483,2,5,5,255,At Risk,0
17536_US,2023-08-26,3,565.6666666666667,494,2,4,5,245,At Risk,0
38034_US,2023-08-30,6,565.4305239179955,490,2,5,5,255,At Risk,0
27371_US,2023-06-21,4,565.4139534883722,560,2,4,5,245,At Risk,0
152-0003_JP,2023-08-30,4,565.14,490,2,4,5,245,At Risk,0
65807-4064_US,2023-05-19,5,565.0971276174,593,2,5,5,255,At Risk,0
96134_US,2023-06-27,3,565.0205011389521,554,2,4,5,245,At Risk,0
52306_US,2023-08-18,4,564.5794392523364,502,2,4,5,245,At Risk,0
43025_US,2023-07-17,6,564.3055555555554,534,2,5,5,255,At Risk,0
63089_US,2023-08-18,6,564.1510793959708,502,2,5,5,255,At Risk,0
CM4 9AP_GB,2023-08-23,3,563.7,497,2,4,5,245,At Risk,0
44404_US,2023-08-28,5,562.6666666666665,492,2,5,5,255,At Risk,0
S0G3N0_CA,2023-07-26,2,562.0699999999999,525,2,4,5,245,At Risk,0
21017_US,2023-07-02,5,560.7735849056603,549,2,5,5,255,At Risk,0
63461_US,2023-07-02,7,559.7181677298447,549,2,5,5,255,At Risk,0
31031_US,2023-08-30,7,559.0358126721762,490,2,5,5,255,At Risk,0
50049_US,2023-08-11,8,558.5607476635514,509,2,5,5,255,At Risk,0
39648_US,2023-09-04,7,556.38,485,2,5,5,255,At Risk,0
73542_US,2023-05-14,3,555.4708520179372,598,2,4,5,245,At Risk,0
86046-2657_US,2023-06-29,2,555.431654676259,552,2,4,5,245,At Risk,0
0_IE,2023-06-25,10,555.2834645669292,556,2,5,5,255,At Risk,0
CW8 4DW_GB,2023-06-18,2,555.0,563,2,4,5,245,At Risk,0
44082_US,2023-03-19,3,552.4722222222222,654,1,4,5,145,At Risk,0
32421_US,2023-08-30,4,552.2396313364055,490,2,4,5,245,At Risk,0
77517_US,2023-07-21,7,550.8083140877598,530,2,5,5,255,At Risk,0
BH12 2HE_GB,2023-08-25,2,549.9916666666667,495,2,4,5,245,At Risk,0
N3Y 3G4_CA,2023-01-26,2,549.58,706,1,4,5,145,At Risk,0
T5W 3W7_CA,2023-04-14,7,548.63,628,1,5,5,155,At Risk,0
51246_US,2023-08-17,4,548.4579439252336,503,2,4,5,245,At Risk,0
75100_RO,2023-07-28,5,548.3949579831933,523,2,5,5,255,At Risk,0
6021_NZ,2023-08-09,5,548.1800000000001,511,2,5,5,255,At Risk,0
65582_US,2023-06-06,6,547.3114210545284,575,2,5,5,255,At Risk,0
77046_US,2023-07-25,5,546.8822170900692,526,2,5,5,255,At Risk,0
15938_US,2023-08-18,6,546.5833333333333,502,2,5,5,255,At Risk,0
81019_US,2023-08-24,6,545.2877697841726,496,2,5,5,255,At Risk,0
614_NZ,2023-09-05,7,544.88,484,2,5,5,255,At Risk,0
96521_US,2023-07-09,5,543.76,542,2,5,5,255,At Risk,0
43832_US,2023-05-24,6,543.6203703703703,588,2,5,5,255,At Risk,0
71235_US,2023-06-28,7,543.014804845222,553,2,5,5,255,At Risk,0
74056_US,2023-09-04,6,542.7533632286995,485,2,5,5,255,At Risk,0
56329_US,2023-08-01,6,542.2273249138921,519,2,5,5,255,At Risk,0
EH3 8DG_GB,2023-06-25,6,541.6666666666667,556,2,5,5,255,At Risk,0
V0H 1T0_CA,2023-07-31,5,541.12,520,2,5,5,255,At Risk,0
47842_US,2023-07-02,7,536.7383177570093,549,2,5,5,255,At Risk,0
47390_US,2023-08-20,6,536.3084112149533,500,2,5,5,255,At Risk,0
96771_US,2023-08-27,5,535.29,493,2,5,5,255,At Risk,0
20622_US,2023-05-13,7,534.5943396226414,599,2,5,5,255,At Risk,0
81403_US,2023-06-13,6,534.091726618705,568,2,5,5,255,At Risk,0
65565_US,2023-08-06,7,533.6342667675785,514,2,5,5,255,At Risk,0
48811_US,2023-03-14,3,533.2641509433962,659,1,4,5,145,At Risk,0
71417_US,2023-06-11,6,533.1269627635711,570,2,5,5,255,At Risk,0
J0P 1R0_CA,2023-04-18,5,533.11,624,1,5,5,155,At Risk,0
46773_US,2023-08-14,7,532.8971962616822,506,2,5,5,255,At Risk,0
59026_US,2023-07-06,5,530.44,545,2,5,5,255,At Risk,0
55952_US,2023-08-17,5,530.2502870264063,503,2,5,5,255,At Risk,0
WN5 8JB_GB,2023-02-07,2,529.9833333333333,694,1,4,5,145,At Risk,0
16426_US,2023-08-18,6,529.7407407407408,502,2,5,5,255,At Risk,0
ML9 3PS_GB,2023-06-18,6,528.2750000000001,563,2,5,5,255,At Risk,0
S7N 3X6_CA,2023-07-03,1,527.9,548,2,3,5,235,At Risk,0
51000_MY,2023-06-26,4,526.48,555,2,4,5,245,At Risk,0
11060_MY,2023-06-13,4,524.59,568,2,4,5,245,At Risk,0
42635_US,2023-09-03,6,524.122641509434,486,2,5,5,255,At Risk,0
A1A 5Z8_CA,2023-04-07,4,523.28,635,1,5,5,155,At Risk,0
A0G2P0_CA,2023-07-31,5,522.8299999999999,520,2,5,5,255,At Risk,0
68882_US,2023-06-21,4,522.18,560,2,4,5,245,At Risk,0
38551_US,2023-08-25,5,522.0318906605924,495,2,5,5,255,At Risk,0
66032_US,2023-08-12,5,521.6470588235294,508,2,5,5,255,At Risk,0
22534_US,2023-07-14,4,520.132075471698,537,2,4,5,245,At Risk,0
59107_US,2023-04-05,3,517.9300000000001,637,1,4,5,145,At Risk,0
59072_US,2023-07-26,6,516.98,525,2,5,5,255,At Risk,0
T2J 1R5_CA,2023-07-10,1,516.12,541,2,3,5,235,At Risk,0
17777_US,2023-05-10,7,514.1203703703703,602,2,5,5,255,At Risk,0
37422_US,2023-06-23,3,513.8223234624147,558,2,4,5,245,At Risk,0
555_ZA,2023-02-25,2,513.7,676,1,4,5,145,At Risk,0
59465_US,2023-03-07,2,513.5899999999999,666,1,4,5,145,At Risk,0
35444_US,2023-07-01,8,512.2,550,2,5,5,255,At Risk,0
N8S 4A8_CA,2023-07-12,4,512.0600000000001,539,2,5,5,255,At Risk,0
18070_US,2023-09-04,4,511.037037037037,485,2,4,5,245,At Risk,0
50542_US,2023-09-06,4,510.85046728971963,483,2,4,5,245,At Risk,0
38105_US,2023-05-17,5,509.28473804100236,595,2,5,5,255,At Risk,0
55710_US,2023-05-28,4,509.2261768082663,584,2,4,5,245,At Risk,0
2820-250_PT,2023-08-04,6,509.00813008130086,516,2,5,5,255,At Risk,0
20754-3008_US,2023-07-17,2,505.91509433962256,534,2,4,5,245,At Risk,0
28683_US,2023-06-17,2,505.12558139534883,564,2,4,5,245,At Risk,0
22952_US,2023-09-03,6,504.7924528301886,486,2,5,5,255,At Risk,0
3011_ES,2023-05-19,13,503.7090909090909,593,2,5,5,255,At Risk,0
54943_US,2023-07-15,6,502.9320843091336,536,2,5,5,255,At Risk,0
73463_US,2023-08-21,5,502.15246636771303,499,2,5,5,255,At Risk,0
L7C 3R7_CA,2023-05-17,2,501.87,595,2,4,5,245,At Risk,0
IP27 9EP_GB,2023-04-13,3,501.625,629,1,4,5,145,At Risk,0
NP23 4RA_GB,2023-06-24,3,499.9916666666667,557,2,4,5,245,At Risk,0
96749-8239_US,2023-04-09,2,499.91999999999996,633,1,4,5,145,At Risk,0
76262-3617_US,2023-07-03,5,499.31639722863736,548,2,5,5,255,At Risk,0
T3K 4A6_CA,2023-02-27,2,497.81,674,1,4,5,145,At Risk,0
10069_US,2023-06-19,7,497.3409873708381,562,2,5,5,255,At Risk,0
56288_US,2023-05-31,5,495.97244546498274,581,2,5,5,255,At Risk,0
3748_US,2023-07-24,6,494.22999999999996,527,2,5,5,255,At Risk,0
71667_US,2023-08-22,6,493.89,498,2,5,5,255,At Risk,0
L9A 1C7_CA,2023-04-10,4,493.42,632,1,5,5,155,At Risk,0
50841_US,2023-05-09,6,492.8411214953271,603,2,5,5,255,At Risk,0
23505-1606_US,2022-12-22,1,491.9528301886792,741,1,1,5,115,Hibernating,2
5743_US,2023-06-26,4,491.76,555,2,4,5,245,At Risk,0
21849_US,2023-09-01,4,491.21698113207543,488,2,4,5,245,At Risk,0
V3Z 9T7_CA,2023-08-31,3,490.84000000000003,489,2,4,5,245,At Risk,0
9021_US,2023-04-18,4,490.34,624,1,5,5,155,At Risk,0
LS11 9EB_GB,2023-06-18,3,490.0,563,2,4,5,245,At Risk,0
W14 8HJ_GB,2023-03-08,2,489.9916666666667,665,1,4,5,145,At Risk,0
41544_KR,2023-02-08,2,489.90999999999997,693,1,4,5,145,At Risk,0
54983_US,2023-07-13,4,489.32084309133495,538,2,4,5,245,At Risk,0
V0H 1Z9_CA,2023-02-16,4,489.28999999999996,685,1,5,5,155,At Risk,0
SW19 4QU_GB,2023-04-02,4,488.31666666666666,640,1,5,5,155,At Risk,0
73028_US,2023-08-02,6,487.57847533632287,518,2,5,5,255,At Risk,0
N0M 1N0_CA,2023-08-18,3,487.17,502,2,4,5,245,At Risk,0
25159_US,2023-08-31,4,486.06,489,2,4,5,245,At Risk,0
72354_US,2023-06-30,4,485.53999999999996,551,2,4,5,245,At Risk,0
17401_US,2023-09-04,3,485.28703703703695,485,2,4,5,245,At Risk,0
6782_US,2023-08-08,3,485.1339915373766,512,2,4,5,245,At Risk,0
17980_US,2023-06-17,6,484.30555555555554,564,2,5,5,255,At Risk,0
97734_US,2023-04-25,5,483.57000000000005,617,1,5,5,155,At Risk,0
4921_US,2023-07-27,4,481.42,524,2,4,5,245,At Risk,0
47006_US,2023-09-05,7,480.9439252336448,484,2,5,5,255,At Risk,0
36605_US,2023-08-28,7,480.87,492,2,5,5,255,At Risk,0
L4M5A2_CA,2023-02-15,3,480.28,686,1,4,5,145,At Risk,0
43555_US,2023-03-31,2,479.75925925925924,642,1,4,5,145,At Risk,0
59422_US,2023-01-23,2,478.24,709,1,4,5,145,At Risk,0
18800_ES,2023-06-19,5,476.8454545454545,562,2,5,5,255,At Risk,0
V7N 1S8_CA,2023-08-11,4,476.01,509,2,5,5,255,At Risk,0
31055_US,2023-07-17,6,475.8494031221304,534,2,5,5,255,At Risk,0
T9E 8B6_CA,2023-04-28,1,475.35,614,1,3,5,135,At Risk,0
49224_US,2023-04-28,6,474.7641509433962,614,1,5,5,155,At Risk,0
55071_US,2023-03-20,3,474.61768082663593,653,1,4,5,145,At Risk,0
49623_US,2023-05-01,1,473.2735849056604,611,1,1,5,115,Hibernating,2
CT9 1RA_GB,2023-02-28,2,472.47499999999997,673,1,4,5,145,At Risk,0
4658_US,2023-08-14,5,471.49,506,2,5,5,255,At Risk,0
1222_PH,2023-04-08,3,471.19,634,1,4,5,145,At Risk,0
560040_IN,2023-06-16,3,471.04999999999995,565,2,4,5,245,At Risk,0
1203_PH,2023-08-27,3,470.77000000000004,493,2,4,5,245,At Risk,0
43469_US,2023-07-17,5,470.5648148148148,534,2,5,5,255,At Risk,0
30571_US,2023-07-11,4,470.28466483011937,540,2,4,5,245,At Risk,0
78643_US,2023-06-25,5,470.1986143187067,556,2,5,5,255,At Risk,0
T4S 1K7_CA,2023-08-07,3,469.4,513,2,4,5,245,At Risk,0
70591_US,2023-08-12,6,469.31359353970385,508,2,5,5,255,At Risk,0
83335_US,2023-08-12,2,469.15999999999997,508,2,4,5,245,At Risk,0
79401_US,2023-05-12,6,468.905311778291,600,2,5,5,255,At Risk,0
64477_US,2023-07-15,7,468.5010992179334,536,2,5,5,255,At Risk,0
98601_US,2023-08-27,6,468.3348416289593,493,2,5,5,255,At Risk,0
48238_US,2023-07-25,4,468.16037735849056,526,2,4,5,245,At Risk,0
68404_US,2023-08-17,4,466.76,503,2,4,5,245,At Risk,0
OL4 5EA_GB,2023-02-09,1,466.6666666666667,692,1,3,5,135,At Risk,0
44822_US,2023-08-31,4,466.20370370370364,489,2,4,5,245,At Risk,0
20064_US,2023-01-29,2,465.25,703,1,4,5,145,At Risk,0
55935_US,2023-05-25,6,464.43168771526973,587,2,5,5,255,At Risk,0
LE5 2QP_GB,2023-04-05,4,464.10833333333335,637,1,5,5,155,At Risk,0
10968_US,2023-08-04,4,464.03673938002294,516,2,4,5,245,At Risk,0
97859_US,2023-06-17,3,463.33,564,2,4,5,245,At Risk,0
T1G 1A3_CA,2023-04-30,4,462.76,612,1,5,5,155,At Risk,0
18977_US,2023-07-26,5,462.66666666666663,525,2,5,5,255,At Risk,0
61341_US,2023-08-19,5,461.54782608695655,501,2,5,5,255,At Risk,0
T2H 0V5_CA,2023-04-15,3,461.28,627,1,4,5,145,At Risk,0
39769_US,2023-08-20,7,460.65,500,2,5,5,255,At Risk,0
L0M 1C0_CA,2023-07-13,4,460.26,538,2,5,5,255,At Risk,0
90270_US,2023-03-23,5,460.15489749430526,650,1,5,5,155,At Risk,0
57259_US,2023-06-17,3,460.0,564,2,4,5,245,At Risk,0
V3E 3P5_CA,2022-12-22,1,459.8,741,1,3,5,135,At Risk,0
N7L 5N4_CA,2022-12-25,1,459.68,738,1,3,5,135,At Risk,0
63072_US,2023-05-28,4,458.30179839261905,584,2,4,5,245,At Risk,0
YO11 2RL_GB,2023-07-20,3,458.28333333333336,531,2,4,5,245,At Risk,0
YO30 6BG_GB,2023-08-05,3,458.2833333333333,515,2,4,5,245,At Risk,0
68527_US,2023-03-18,2,457.4,655,1,4,5,145,At Risk,0
J2R1T8_CA,2023-06-15,2,456.86,566,2,4,5,245,At Risk,0
38315_US,2023-08-17,5,456.7835990888384,503,2,5,5,255,At Risk,0
48137_US,2023-08-20,5,455.71698113207543,500,2,5,5,255,At Risk,0
37014_US,2023-08-17,7,455.58997722095677,503,2,5,5,255,At Risk,0
57476_US,2023-08-15,5,454.88,505,2,5,5,255,At Risk,0
57648_US,2023-03-24,1,454.43,649,1,1,5,115,Hibernating,2
V0E2Z0_CA,2023-08-04,4,453.9,516,2,5,5,255,At Risk,0
19933_US,2023-09-03,7,453.21,486,2,5,5,255,At Risk,0
T6B 0E1_CA,2023-04-11,4,452.46,631,1,5,5,155,At Risk,0
74047_US,2023-07-06,6,452.02690582959644,545,2,5,5,255,At Risk,0
N0C 1E0_CA,2023-08-17,3,452.0,503,2,4,5,245,At Risk,0
3263_US,2023-08-08,4,450.9,512,2,4,5,245,At Risk,0
H7X 0B6_CA,2023-08-26,3,450.12,494,2,4,5,245,At Risk,0
45869_US,2023-06-30,7,450.0833333333333,551,2,5,5,255,At Risk,0
44085_US,2023-07-03,5,450.0185185185185,548,2,5,5,255,At Risk,0
SE15 6JX_GB,2023-05-04,2,449.98333333333335,608,1,4,5,145,At Risk,0
ST13 5HS_GB,2023-03-01,1,449.9666666666667,672,1,3,5,135,At Risk,0
RG14 7RT_GB,2023-07-11,4,449.94166666666666,540,2,5,5,255,At Risk,0
49680_US,2023-08-12,5,449.16037735849056,508,2,5,5,255,At Risk,0
99185_US,2023-07-12,2,448.95927601809956,539,2,4,5,245,At Risk,0
1452_US,2023-09-02,3,448.60235294117643,487,2,4,5,245,At Risk,0
28777_US,2023-08-31,5,448.2604651162791,489,2,5,5,255,At Risk,0
61260_US,2023-04-02,5,447.3913043478261,640,1,5,5,155,At Risk,0
43504_US,2023-03-09,5,447.29629629629625,664,1,5,5,155,At Risk,0
96384_US,2023-06-11,3,447.07,570,2,4,5,245,At Risk,0
56547_US,2023-07-07,5,445.4741676234213,544,2,5,5,255,At Risk,0
28684_US,2023-05-04,6,445.4232558139535,608,1,5,5,155,At Risk,0
V1K1B8_CA,2023-06-27,3,444.92999999999995,554,2,4,5,245,At Risk,0
99166_US,2023-04-13,3,443.87330316742083,629,1,4,5,145,At Risk,0
49639_US,2023-07-09,4,443.79245283018867,542,2,4,5,245,At Risk,0
53189-9403_US,2023-07-10,3,443.70023419203756,541,2,4,5,245,At Risk,0
T0H 1P0_CA,2023-07-07,3,443.53999999999996,544,2,4,5,245,At Risk,0
35188_US,2023-08-22,6,443.33,498,2,5,5,255,At Risk,0
22737_US,2023-06-08,5,443.2264150943396,573,2,5,5,255,At Risk,0
V5L 1R9_CA,2023-05-04,2,442.32000000000005,608,1,4,5,145,At Risk,0
T3K 4J5_CA,2023-03-15,2,441.82,658,1,4,5,145,At Risk,0
49653_US,2023-08-03,3,441.4433962264151,517,2,4,5,245,At Risk,0
29926-1955_US,2023-01-15,2,441.1834862385321,717,1,4,5,145,At Risk,0
2810_AU,2023-03-25,3,441.02727272727276,648,1,4,5,145,At Risk,0
62320_US,2023-05-05,6,440.9217391304348,607,1,5,5,155,At Risk,0
53110-1212_US,2023-02-18,2,440.61826697892275,683,1,4,5,145,At Risk,0
